case_name,google_case_id,judge,published,case_citation
JIN HUA ZHENG v. Lynch,18267444616686587739,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
NAGUE v. Holder,14549038858703506094,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. KRAMRISH,11192318554502047940,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Gardner v. Murphy,7263963387657602652,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Fowlkes v. Adamec,5036405387328263436,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
JONATAN v. Lynch,13533286721135204991,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Morrison,16975852121594707818,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Butler v. Commissioner of Social Security,9779624955336764342,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
VELAZCO v. COLUMBUS CITIZENS FOUNDATION,2896331283811904482,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
GAYTAN-ARAGON v. Lynch,1609240820596482399,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Glenn,3543932710583363119,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
VOTTA v. Castellani,12495959193436130226,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
FULI ZHANG v. Lynch,12022169883497406882,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Rosales v. KIKENDALL,2010029890169739341,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Marmolejos v. US,16623091468373018561,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Wen v. Lynch,13976810195747919656,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Miner,2269601491515204428,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
